Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Platform_encoded,Genre_encoded,Publisher_encoded,Developer_encoded,Rating_encoded,Name
1996,2.29,1.97,0.13,0.24,4.63,91,13,8.6,147,15,0,138,318,7,The Lord of the Rings: The Two Towers
2008,1.82,1.12,1.32,0.36,4.62,73,50,7.6,119,26,9,361,1008,1,Tomb Raider
2015,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,18,0,457,227,7,Animal Crossing: City Folk
1991,2.42,0.91,1.15,0.13,4.61,71,22,7.5,24,23,0,361,1558,8,Uncharted: The Nathan Drake Collection
2002,2.6,0.99,0.89,0.13,4.6,96,80,8.9,968,7,0,361,1008,1,The Legend of Zelda: A Link to the Past
2007,3.04,1.11,0,0.43,4.6,86,36,8.4,87,26,3,21,1577,7,The Legend of Zelda: The Wind Waker
2013,1.8,1.39,1.11,0.29,4.59,86,74,8.4,458,2,0,361,998,1,Guitar Hero III: Legends of Rock
2011,2.08,1.97,0.06,0.46,4.57,91,83,8.2,617,28,6,325,1513,1,Luigi's Mansion: Dark Moon
2009,1.87,1.96,0.22,0.48,4.53,71,22,7.5,24,26,10,447,1558,8,Forza Motorsport 4
2004,4.18,0.26,0.01,0.08,4.53,91,30,7.9,78,16,10,139,446,1,Mario & Sonic at the Olympic Winter Games
2007,3.19,0.91,0.01,0.42,4.53,85,69,7.9,165,28,3,21,992,7,Madden NFL 2005
1981,4.21,0.24,0,0.05,4.5,71,22,7.5,24,0,4,21,1558,8,Guitar Hero III: Legends of Rock
2006,3.63,0.24,0.01,0.61,4.49,84,29,8.2,39,16,10,139,442,1,Pitfall!
2015,2.78,1.27,0.03,0.41,4.48,84,101,6.4,2438,30,8,325,18,7,Madden NFL 07
2002,2.71,1.51,0.03,0.23,4.48,76,25,7.9,41,16,0,21,1499,1,Halo 5: Guardians
2000,0.2,0.14,4.1,0.02,4.47,71,22,7.5,24,15,7,145,1558,8,Spider-Man: The Movie
2016,1.61,2,0.15,0.71,4.46,77,82,3.4,1129,18,8,21,717,5,Dragon Quest VII: Warriors of Eden
2005,2.71,1.29,0.02,0.43,4.45,94,75,8.9,997,16,0,457,1230,5,Call of Duty: Infinite Warfare
2015,1.54,1.18,1.46,0.26,4.43,81,88,8.5,1184,27,8,361,1008,2,God of War
2012,2.52,1.11,0.46,0.33,4.42,77,61,7.9,471,27,3,361,1008,2,Splatoon
2001,2.66,1.29,0.01,0.46,4.41,97,34,7.5,298,16,10,21,992,7,Nintendo Land
2006,0.1,2.39,1.05,0.86,4.39,86,19,8.9,33,16,10,277,804,1,Tony Hawk's Pro Skater 3
2006,2.82,1.03,0.13,0.4,4.38,94,90,8.7,1109,28,7,496,174,5,Winning Eleven: Pro Evolution Soccer 2007
1987,2.19,0.5,1.61,0.08,4.38,71,22,7.5,24,11,1,361,1558,8,The Elder Scrolls IV: Oblivion
2005,2.03,1.79,0.08,0.47,4.37,82,36,9.1,137,16,6,139,424,7,Zelda II: The Adventure of Link
2010,2.64,1.33,0.01,0.39,4.36,56,37,8.3,31,26,3,527,1536,2,Need for Speed: Most Wanted
2014,1.56,1.93,0.19,0.68,4.36,71,22,4.8,207,17,8,21,654,5,Michael Jackson: The Experience
2006,1.74,1.72,0.14,0.75,4.34,86,70,8.1,715,17,8,457,723,5,Call of Duty: Advanced Warfare
1991,3.03,0.91,0.26,0.13,4.34,71,22,7.5,24,8,4,447,1558,8,Resistance: Fall of Man
2005,2.2,0.58,1.38,0.17,4.33,87,64,9,766,16,7,466,1351,2,Sonic the Hedgehog
2011,2.09,1.31,0.62,0.31,4.33,71,22,7.5,24,2,0,361,1558,8,Kingdom Hearts II
2013,2.11,1.16,0.73,0.32,4.32,93,83,9,1607,27,4,361,1008,1,The Legend of Zelda: Ocarina of Time
2014,1.48,2.02,0.14,0.68,4.32,71,22,7.5,24,18,3,459,1558,8,Super Mario 3D World
1980,4,0.26,0,0.05,4.31,71,22,7.5,24,0,8,53,1558,8,Minecraft
2014,2.77,1.11,0,0.4,4.29,71,22,4.9,221,28,8,21,654,5,Asteroids
2014,0.58,3.02,0.04,0.64,4.28,71,22,4.5,109,17,10,139,442,1,Call of Duty: Advanced Warfare
2008,2.51,1.24,0.11,0.41,4.27,89,95,6.5,2423,28,7,325,840,5,FIFA 15
